	PLAYER	2018/19 	2018/19(*)
125.	Dante Exum	$10,600,000	$10,774,739
126.	Meyers Leonard	$10,595,506	$10,770,171
127.	John Henson	$10,577,466	$10,751,833
128.	Terrence Ross	$10,500,000	$10,673,090
128.	Mirza Teletovic	$10,500,000	$10,673,090
128.	Bojan Bogdanovic	$10,500,000	$10,673,090
131.	Robert Covington	$10,464,092	$10,636,590
132.	Rudy Gay	$10,087,200	$10,253,485
133.	Jon Leuer	$10,002,681	$10,167,573
134.	Danny Green	$10,000,000	$10,164,848
134.	Andre Roberson	$10,000,000	$10,164,848
134.	Darren Collison	$10,000,000	$10,164,848
137.	Dwight Powell	$9,631,250	$9,790,019
138.	Matthew Dellavedova	$9,607,500	$9,765,878
139.	Jared Dudley	$9,530,000	$9,687,100
140.	Boban Marjanovic	$9,490,740	$9,647,193
141.	Norman Powell	$9,367,200	$9,521,616
141.	Josh Richardson	$9,367,200	$9,521,616
143.	Markieff Morris	$9,173,294	$9,324,513
144.	Bogdan Bogdanovic	$9,000,000	$9,148,363
144.	Rajon Rondo	$9,000,000	$9,148,363
146.	E'Twaun Moore	$8,808,685	$8,953,894
147.	Kosta Koufos	$8,739,500	$8,883,569
148.	Fred VanVleet	$8,653,847	$8,796,504
149.	Wayne Ellington	$8,653,076	$8,795,719
150.	Julius Randle	$8,641,000	$8,783,445
150.	Kyle Anderson	$8,641,000	$8,783,445
152.	Jerryd Bayless	$8,575,916	$8,717,288
153.	Cristiano Felicio	$8,470,980	$8,610,622
154.	Markelle Fultz	$8,339,880	$8,477,361
155.	Jerami Grant	$8,333,333	$8,470,706
155.	CJ Miles	$8,333,333	$8,470,706
155.	Joe Harris	$8,333,333	$8,470,706
158.	Shaun Livingston	$8,307,692	$8,444,643
159.	Deandre Ayton	$8,175,840	$8,310,617
160.	JaMychal Green	$8,066,667	$8,199,644
161.	Garrett Temple	$8,000,000	$8,131,878
161.	Louis Williams	$8,000,000	$8,131,878
163.	PJ Tucker	$7,959,537	$8,090,748
164.	Cory Joseph	$7,945,000	$8,075,972
165.	Karl-Anthony Towns	$7,839,435	$7,968,666
166.	Kyle Korver	$7,560,000	$7,684,625
167.	Darrell Arthur	$7,464,912	$7,587,969
168.	Lonzo Ball	$7,461,960	$7,584,969
169.	Doug McDermott	$7,333,334	$7,454,222
170.	Marvin Bagley	$7,314,960	$7,435,545
171.	Jae Crowder	$7,305,825	$7,426,260
172.	DJ Augustin	$7,250,000	$7,369,515
173.	Lance Thomas	$7,119,650	$7,237,016
174.	D'Angelo Russell	$7,019,698	$7,135,416
175.	Davis Bertans	$7,000,000	$7,115,393
175.	Ersan Ilyasova	$7,000,000	$7,115,393
175.	Langston Galloway	$7,000,000	$7,115,393
175.	Jeremy Lamb	$7,000,000	$7,115,393
179.	Al-Farouq Aminu	$6,957,105	$7,071,791
180.	Jayson Tatum	$6,700,800	$6,811,261
181.	Luka Doncic	$6,569,040	$6,677,329
182.	Nemanja Bjelica	$6,500,000	$6,607,151
182.	Mario Hezonja	$6,500,000	$6,607,151
184.	Ben Simmons	$6,434,520	$6,540,592
185.	Milos Teodosic	$6,300,000	$6,403,854
185.	Dewayne Dedmon	$6,300,000	$6,403,854
187.	Marco Belinelli	$6,153,846	$6,255,291
188.	Wesley Johnson	$6,134,000	$6,235,118
189.	Josh Jackson	$6,041,520	$6,141,113
190.	Jonathon Simmons	$6,000,000	$6,098,909
190.	Montrezl Harrell	$6,000,000	$6,098,909
190.	Ishmael Smith	$6,000,000	$6,098,909
193.	Jaren Jackson	$5,922,720	$6,020,355
194.	Brandon Ingram	$5,757,120	$5,852,025
195.	Anthony Tolliver	$5,750,000	$5,844,787
196.	Kristaps Porzingis	$5,697,054	$5,790,969
197.	Deron Williams	$5,474,787	$5,565,038
198.	De'Aaron Fox	$5,470,920	$5,561,107
199.	Ben McLemore	$5,460,000	$5,550,007
200.	Patrick Patterson	$5,451,600	$5,541,468
201.	Jason Smith	$5,450,000	$5,539,842
202.	Marcus Morris	$5,375,000	$5,463,606
203.	Trae Young	$5,363,280	$5,451,692
204.	DeMarcus Cousins	$5,337,000	$5,424,979
205.	Josh Smith	$5,331,729	$5,419,621
206.	Alexis Ajinca	$5,285,394	$5,372,522
207.	Thabo Sefolosha	$5,250,000	$5,336,545
208.	Aron Baynes	$5,193,600	$5,279,215
209.	Jaylen Brown	$5,169,960	$5,255,185
210.	Patrick Beverley	$5,027,028	$5,109,897
211.	Mike Muscala	$5,000,000	$5,082,424
211.	Dirk Nowitzki	$5,000,000	$5,082,424
211.	Tony Parker	$5,000,000	$5,082,424
214.	Jonathan Isaac	$4,969,080	$5,050,994
215.	Mo Bamba	$4,871,280	$4,951,582
216.	Jamal Crawford	$4,698,113	$4,775,559
217.	Ron Baker	$4,697,823	$4,775,265
218.	Willie Cauley-Stein	$4,696,874	$4,774,301
219.	Dragan Bender	$4,661,280	$4,738,120
220.	Lauri Markkanen	$4,536,120	$4,610,897
221.	Justin Holiday	$4,500,000	$4,574,181
222.	Lance Stephenson	$4,449,000	$4,522,341
222.	Kyle O'Quinn	$4,449,000	$4,522,341
222.	Ed Davis	$4,449,000	$4,522,341
225.	Wendell Carter	$4,446,840	$4,520,145
