	PLAYER	2018/19 	2018/19(*)
555.	Andre Ingram	$76,236	$77,492
555.	Kobi Simmons	$76,236	$77,492
555.	Jonathan Gibson	$76,236	$77,492
561.	Wenyen Gabriel	$75,000	$76,236
562.	Billy Garrett	$67,370	$68,480
563.	Mitch Creek	$56,845	$57,782
563.	Brandon Goodwin	$56,845	$57,782
565.	Jemerrio Jones	$52,170	$53,030
566.	Tarik Phillip	$47,370	$48,150
566.	Cody Demps	$47,370	$48,150
566.	Richard Solomon	$47,370	$48,150
566.	Kendrick Nunn	$47,370	$48,150
566.	Dusty Hannahs	$47,370	$48,150
566.	Stephan Hicks	$47,370	$48,150
566.	Michael Frazier	$47,370	$48,150
566.	Tahjere McCall	$47,370	$48,150
566.	Mitchell Creek	$47,370	$48,150
566.	Isaac Humphries	$47,370	$48,150
566.	Jordan Sibert	$47,370	$48,150
