"","PLAYER_NAME","PLAYER_ID","ab3c attempt","ab3lc attempt","ab3rc attempt","paint attempt","lc3 attempt","mrc attempt","mrlc attempt","mrl attempt","mrrc attempt","mrr attempt","ra attempt","rc3 attempt","ab3c pct","ab3lc pct","ab3rc pct","paint pct","lc3 pct","mrc pct","mrlc pct","mrl pct","mrrc pct","mrr pct","ra pct","rc3 pct","total_attempts","Salary","Pos","Ht","Wt","Exp","Birth Date","Ht_in"
"1","Blake Griffin",201933,115,175,128,247,72,12,12,54,10,18,467,28,0.382608695652174,0.388571428571429,0.265625,0.360323886639676,0.458333333333333,0.0833333333333333,0.416666666666667,0.222222222222222,0.5,0.277777777777778,0.67237687366167,0.321428571428571,1341,31873932,"PF","6-9",250,8,"March 16, 1989",81
"2","DeMar DeRozan",201942,5,13,4,396,13,130,76,156,76,115,319,9,0.2,0,0,0.44949494949495,0.307692307692308,0.415384615384615,0.368421052631579,0.371794871794872,0.460526315789474,0.426086956521739,0.695924764890282,0.222222222222222,1313,27739975,"SG","6-6",220,9,"August 7, 1989",78
"3","Devin Booker",1626164,123,147,108,225,16,50,42,80,47,73,324,14,0.284552845528455,0.36734693877551,0.314814814814815,0.52,0.375,0.4,0.380952380952381,0.4375,0.446808510638298,0.534246575342466,0.626543209876543,0.357142857142857,1255,3314365,"SG","6-5",206,3,"October 30, 1996",77
"4","Karl-Anthony Towns",1626157,170,83,58,325,27,19,20,73,17,59,447,15,0.364705882352941,0.36144578313253,0.53448275862069,0.476923076923077,0.407407407407407,0.31578947368421,0.5,0.36986301369863,0.411764705882353,0.423728813559322,0.693512304250559,0.466666666666667,1314,7839435,"C","6-11",248,3,"November 15, 1995",83
"5","Stephen Curry",201939,146,259,261,100,77,37,31,44,48,36,234,56,0.452054794520548,0.451737451737452,0.39463601532567,0.46,0.532467532467532,0.432432432432432,0.387096774193548,0.386363636363636,0.479166666666667,0.472222222222222,0.628205128205128,0.464285714285714,1340,37457154,"PG","6-3",185,9,"March 14, 1988",75
"6","Tobias Harris",202699,81,99,139,282,34,70,35,65,30,31,349,35,0.358024691358025,0.424242424242424,0.381294964028777,0.48936170212766,0.470588235294118,0.485714285714286,0.571428571428571,0.369230769230769,0.433333333333333,0.32258064516129,0.6189111747851,0.457142857142857,1254,14800000,"PF","6-8",226,7,"July 15, 1992",80
"7","Trae Young",1629027,189,117,157,258,7,45,12,16,33,33,377,11,0.349206349206349,0.316239316239316,0.292993630573248,0.468992248062016,0.428571428571429,0.311111111111111,0.333333333333333,0.25,0.303030303030303,0.484848484848485,0.530503978779841,0.363636363636364,1256,5363280,"PG","6-1",180,0,"September 19, 1998",73
